,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,artist
69,0.407,https://api.spotify.com/v1/audio-analysis/30KGqhmb7aNFU765J7yp7t,0.742,305667,0.632,30KGqhmb7aNFU765J7yp7t,6.83e-05,0,0.119,-6.699,1,0.033,96.004,4,https://api.spotify.com/v1/tracks/30KGqhmb7aNFU765J7yp7t,audio_features,spotify:track:30KGqhmb7aNFU765J7yp7t,0.85,Love,Haitian Troubadours
70,0.0533,https://api.spotify.com/v1/audio-analysis/5jkT6NNJx8ZuyyqnTbLfW2,0.79,258345,0.781,5jkT6NNJx8ZuyyqnTbLfW2,0.192,11,0.036,-8.683,1,0.0552,100.187,4,https://api.spotify.com/v1/tracks/5jkT6NNJx8ZuyyqnTbLfW2,audio_features,spotify:track:5jkT6NNJx8ZuyyqnTbLfW2,0.838,Lessé Mwen Zouké,Meteorz'
71,0.507,https://api.spotify.com/v1/audio-analysis/02RpRGFZrEJsUWAqL8DD9o,0.809,337946,0.788,02RpRGFZrEJsUWAqL8DD9o,0.0946,8,0.0862,-6.711,1,0.045,96.429,4,https://api.spotify.com/v1/tracks/02RpRGFZrEJsUWAqL8DD9o,audio_features,spotify:track:02RpRGFZrEJsUWAqL8DD9o,0.889,Len Mou Raid,Battery Cremil
72,0.307,https://api.spotify.com/v1/audio-analysis/26xdAlDjAsXcAyQQ5guS62,0.766,392200,0.563,26xdAlDjAsXcAyQQ5guS62,0.33,1,0.35,-11.878,0,0.0905,96.598,4,https://api.spotify.com/v1/tracks/26xdAlDjAsXcAyQQ5guS62,audio_features,spotify:track:26xdAlDjAsXcAyQQ5guS62,0.69,Chèché mwen,Frederick Caracas
73,0.0309,https://api.spotify.com/v1/audio-analysis/0QCOAR3Z7Rb9vhe8Dyvt5W,0.719,301600,0.721,0QCOAR3Z7Rb9vhe8Dyvt5W,0.003,2,0.107,-7.885,0,0.0373,102.386,4,https://api.spotify.com/v1/tracks/0QCOAR3Z7Rb9vhe8Dyvt5W,audio_features,spotify:track:0QCOAR3Z7Rb9vhe8Dyvt5W,0.854,L'anmou a bel epiw,Souskay
74,0.341,https://api.spotify.com/v1/audio-analysis/19dYzAErrQ7acYkdDyX8p4,0.747,296973,0.838,19dYzAErrQ7acYkdDyX8p4,0.288,5,0.063,-8.04,1,0.0329,101.993,4,https://api.spotify.com/v1/tracks/19dYzAErrQ7acYkdDyX8p4,audio_features,spotify:track:19dYzAErrQ7acYkdDyX8p4,0.878,A Dé,J.M. Harmony
75,0.117,https://api.spotify.com/v1/audio-analysis/4dyWdO8sP07dPRYcK8r256,0.732,207920,0.579,4dyWdO8sP07dPRYcK8r256,0.000485,9,0.072,-13.64,0,0.036,92.017,4,https://api.spotify.com/v1/tracks/4dyWdO8sP07dPRYcK8r256,audio_features,spotify:track:4dyWdO8sP07dPRYcK8r256,0.895,Kontretan,Frédéric Losio
76,0.356,https://api.spotify.com/v1/audio-analysis/1UGtOilzIrcpLMMpre7ACQ,0.731,289800,0.718,1UGtOilzIrcpLMMpre7ACQ,0.0196,0,0.0387,-8.075,1,0.0517,95.499,4,https://api.spotify.com/v1/tracks/1UGtOilzIrcpLMMpre7ACQ,audio_features,spotify:track:1UGtOilzIrcpLMMpre7ACQ,0.762,An Karess Sincè,J.M. Harmony
77,0.0258,https://api.spotify.com/v1/audio-analysis/3DRqvGWkwuXVJGCrGuquMf,0.77,238280,0.916,3DRqvGWkwuXVJGCrGuquMf,6.87e-06,0,0.12,-6.604,1,0.0452,98.011,4,https://api.spotify.com/v1/tracks/3DRqvGWkwuXVJGCrGuquMf,audio_features,spotify:track:3DRqvGWkwuXVJGCrGuquMf,0.947,Pawol Gran Moun,Jocelyne Beroard
78,0.402,https://api.spotify.com/v1/audio-analysis/2E1LVeUE22erDMMqtK1pjP,0.785,219216,0.701,2E1LVeUE22erDMMqtK1pjP,0.000607,11,0.115,-7.128,0,0.202,92.976,4,https://api.spotify.com/v1/tracks/2E1LVeUE22erDMMqtK1pjP,audio_features,spotify:track:2E1LVeUE22erDMMqtK1pjP,0.777,Nha Baby,Nelson Freitas
79,0.216,https://api.spotify.com/v1/audio-analysis/7CCBbmU8korbjMtUHw1F6m,0.705,224053,0.699,7CCBbmU8korbjMtUHw1F6m,0.0,2,0.144,-3.908,0,0.194,180.07,4,https://api.spotify.com/v1/tracks/7CCBbmU8korbjMtUHw1F6m,audio_features,spotify:track:7CCBbmU8korbjMtUHw1F6m,0.806,Leçons particulières,Slaï
80,0.474,https://api.spotify.com/v1/audio-analysis/349l9u1TKPevTDZiiTh2bU,0.711,278194,0.831,349l9u1TKPevTDZiiTh2bU,1.01e-06,1,0.168,-6.136,1,0.0366,91.022,4,https://api.spotify.com/v1/tracks/349l9u1TKPevTDZiiTh2bU,audio_features,spotify:track:349l9u1TKPevTDZiiTh2bU,0.708,Santiman Pa Dyaman,K-Zino
81,0.398,https://api.spotify.com/v1/audio-analysis/75k9NQ8tBNGS6DY8Ll7lAA,0.602,253295,0.808,75k9NQ8tBNGS6DY8Ll7lAA,0.000248,7,0.373,-6.052,0,0.0346,170.02,4,https://api.spotify.com/v1/tracks/75k9NQ8tBNGS6DY8Ll7lAA,audio_features,spotify:track:75k9NQ8tBNGS6DY8Ll7lAA,0.656,M'ap Ba Ou L' (feat. 5 Lan),K-Zino
82,0.383,https://api.spotify.com/v1/audio-analysis/3MWW1I5I9wNAluMWppvzZG,0.579,226659,0.793,3MWW1I5I9wNAluMWppvzZG,1.17e-05,5,0.265,-5.683,1,0.0419,176.057,4,https://api.spotify.com/v1/tracks/3MWW1I5I9wNAluMWppvzZG,audio_features,spotify:track:3MWW1I5I9wNAluMWppvzZG,0.495,Bèl Deyès,K-Zino
83,0.116,https://api.spotify.com/v1/audio-analysis/5v4iLhEIDFb88K4SIW8Ttb,0.618,310547,0.705,5v4iLhEIDFb88K4SIW8Ttb,2.64e-05,5,0.209,-6.575,1,0.0329,168.017,4,https://api.spotify.com/v1/tracks/5v4iLhEIDFb88K4SIW8Ttb,audio_features,spotify:track:5v4iLhEIDFb88K4SIW8Ttb,0.749,I Miss My Ex,Zenglen
84,0.0848,https://api.spotify.com/v1/audio-analysis/2naYk2xUhQh0e51KKBYY3h,0.661,285973,0.773,2naYk2xUhQh0e51KKBYY3h,1.97e-06,9,0.0466,-6.793,1,0.0564,176.009,4,https://api.spotify.com/v1/tracks/2naYk2xUhQh0e51KKBYY3h,audio_features,spotify:track:2naYk2xUhQh0e51KKBYY3h,0.607,Fanm sa mové,Carimi
85,0.592,https://api.spotify.com/v1/audio-analysis/4tLvQ6fvnsWB6BGusXS03n,0.758,341347,0.641,4tLvQ6fvnsWB6BGusXS03n,0.0,4,0.138,-8.423,0,0.0435,77.995,4,https://api.spotify.com/v1/tracks/4tLvQ6fvnsWB6BGusXS03n,audio_features,spotify:track:4tLvQ6fvnsWB6BGusXS03n,0.572,Se Pa Pou dat,Alan Cavé
86,0.0262,https://api.spotify.com/v1/audio-analysis/1qDTGSCyDD6LxQF3WsnDvh,0.762,336360,0.571,1qDTGSCyDD6LxQF3WsnDvh,0.00155,6,0.232,-15.635,1,0.0416,110.25,4,https://api.spotify.com/v1/tracks/1qDTGSCyDD6LxQF3WsnDvh,audio_features,spotify:track:1qDTGSCyDD6LxQF3WsnDvh,0.907,Ole Ole,Lakol
87,0.0515,https://api.spotify.com/v1/audio-analysis/2Qke1gxW4HyDqLHEwI7a3r,0.775,354467,0.637,2Qke1gxW4HyDqLHEwI7a3r,0.00396,2,0.16,-9.715,1,0.0366,103.512,4,https://api.spotify.com/v1/tracks/2Qke1gxW4HyDqLHEwI7a3r,audio_features,spotify:track:2Qke1gxW4HyDqLHEwI7a3r,0.419,Fèm Volé,Zin
88,0.18,https://api.spotify.com/v1/audio-analysis/6bqLE3Gwym6sw6s3iILtSk,0.619,307493,0.809,6bqLE3Gwym6sw6s3iILtSk,1.33e-06,2,0.148,-3.73,0,0.0443,171.985,4,https://api.spotify.com/v1/tracks/6bqLE3Gwym6sw6s3iILtSk,audio_features,spotify:track:6bqLE3Gwym6sw6s3iILtSk,0.601,Ma Cherie Je T'aime,T-Vice
